"","Title","Authors","Abstract","Published.Year","Published.Month","Journal","Volume","Issue","Pages","Accession.Number","DOI","Ref","Covidence..","Study","Notes","Tags","cld2","target","results"
"650","Babies Smell Wonderful to Their Parents, Teenagers Do Not: an Exploratory Questionnaire Study on Children's Age and Personal Odor Ratings in a Polish Sample","Croy, I.; Frackowiak, T.; Hummel, T.; Sorokowska, A.","INTRODUCTION: Infant body odor is subjectively pleasant to parents and activates reward areas in the brain. Hence, body odor perception might contribute to parental bonding. However, it is unknown whether the perceived pleasantness of children's body odor varies over the course of a child's development. METHODS: Two hundred and thirty-five parents (M = 36.9 years, SD = 7.3) were asked to assess the personal odor pleasantness of their children (N = 367; M = 9.3 years, SD = 6.4). RESULTS: Odor pleasantness was found to decrease as a function of children's age. Neither sex of the parent nor sex of the child contributed significantly to this effect. CONCLUSIONS: We propose that the effect of age-related changes on personal odor pleasantness reflects olfactory modulation of parental-child relationships. IMPLICATIONS: Our study suggests that perception of young children's personal odor as pleasant may contribute to bonding and thereby caretaking, which is needed to a lesser degree after puberty than before. NA NA NA",2017,"2017/06/27","Chemosens Percept",10,"3","81-87",28932343,"10.1007/s12078-017-9230-x",NA,"#1141","Croy 2017","Louis Schiekiera (2023-06-16 23:38:58)(Screen): mix; ","","en",0,"RESULTS: Odor pleasantness was found to decrease as a function of children's age. Neither sex of the parent nor sex of the child contributed significantly to this effect. CONCLUSIONS:"
"653","Gray matter alteration associated with pain catastrophizing in patients 6 months after lumbar disk surgery: a voxel-based morphometry study","Chehadi, O.; Suchan, B.; Konietzny, K.; Koster, O.; Schmidt-Wilcke, T.; Hasenbring, M. I.","INTRODUCTION: Pain catastrophizing (PC), the increased attention to harmful aspects of pain (magnification), and the belief of low controllability (helplessness) has been shown to be important in the maintenance of pain. A growing research on structural alterations in chronic pain revealed an association between PC and brain areas that are involved in affective and cognitive pain processing. However, little is known about a differential effect of the components magnification and helplessness. OBJECTIVE: The aim of this study was to identify brain regions associated with overall PC and with the single components of magnification and helplessness. METHODS: We investigated 29 patients 6 months after lumbar disk surgery using voxel-based morphometry. Magnification and helplessness were assessed with subscales of the Avoidance-Endurance Questionnaire (AEQ); overall PC was computed using the sum score. The structural brain imaging data were preprocessed and analyzed using SPM8 and VBM8. Multiple regression analyses were performed with PC scales as predictors and depression as covariate. RESULTS: Pain catastrophizing was significantly associated with cortical gray matter in brain areas involved in processing attentional, sensory, and affective aspects of pain, including the left posterior cingulate cortex, supplementary motor area, and medial frontal gyrus. In addition, we provide preliminary evidence for brain structure association related to magnification and helplessness. CONCLUSION: This study provides evidence for PC-related structural alterations in patients with low back pain, which are consistent with findings from previous research in different chronic pain disorders. This study is the first to evaluate brain changes related to differential domains of PC. NA NA NA",2017,"Sep","Pain Rep",2,"5","e617",29392232,"10.1097/PR9.0000000000000617",NA,"#1154","Chehadi 2017","Louis Schiekiera (2023-06-07 01:02:42)(Screen): pos; ","","en",1,"RESULTS: Pain catastrophizing was significantly associated with cortical gray matter in brain areas involved in processing attentional, sensory, and affective aspects of pain, including the left posterior cingulate cortex, supplementary motor area, and medial frontal gyrus. In addition, we provide preliminary evidence for brain structure association related to magnification and helplessness. CONCLUSION:"
"654","Self-Stigma Among People With Mental Health Problems in Terms of Warmth and Competence","Gartner, L.; Asbrock, F.; Euteneuer, F.; Rief, W.; Salzmann, S.","INTRODUCTION: Self-stigma arising from public stigma is a heavy burden for people suffering from mental health problems. Both public stigma and self-stigma encompass the same three elements: stereotype, prejudice, and discrimination. Public stigma has already been successfully explored by the Stereotype Content Model (SCM) and the Behaviors from Intergroup Affect and Stereotypes (BIAS) map. However, this is not the case for self-stigma. Therefore, this is the first study that applies SCM and the BIAS map to self-stigma by examining whether the effects of self-stereotypes on self-directed discrimination would be mediated by self-directed prejudices in people with mental health problems. METHOD: Within a total sample of N = 823 participants, who took part in an online survey, n = 336 people reported mental health problems. Mental health and self-stereotypes (warmth, competence), self-directed prejudice (negative emotions), and self-directed discrimination (active/passive self-harm) were assessed. RESULTS: Structural equation modeling supported the hypothesis that the stereotype dimensions warmth and competence negatively related to prejudice, while stronger prejudice was associated with more discrimination (active/passive self-harm). Prejudice fully mediated the relationship between stereotypes and discrimination. The indirect effects of warmth and competence on active and passive self-harm were moderated by competence and warmth. DISCUSSION: Implications for further research on self-stigma and the usage of SCM and BIAS map are discussed. NA NA NA",2022,"2022/06/14","Front Psychol",13,"","877491",35774956,"10.3389/fpsyg.2022.877491",NA,"#1157","Gartner 2022","Louis Schiekiera (2023-06-08 17:28:13)(Screen): pos; ","","en",1,"RESULTS: Structural equation modeling supported the hypothesis that the stereotype dimensions warmth and competence negatively related to prejudice, while stronger prejudice was associated with more discrimination (active/passive self-harm). Prejudice fully mediated the relationship between stereotypes and discrimination. The indirect effects of warmth and competence on active and passive self-harm were moderated by competence and warmth. DISCUSSION:"
"655","Evidence of an IFN-gamma by early life stress interaction in the regulation of amygdala reactivity to emotional stimuli","Redlich, R.; Stacey, D.; Opel, N.; Grotegerd, D.; Dohm, K.; Kugel, H.; Heindel, W.; Arolt, V.; Baune, B. T.; Dannlowski, U.","INTRODUCTION: Since numerous studies have found that exposure to early life stress leads to increased peripheral inflammation and psychiatric disease, it is thought that peripheral immune activation precedes and possibly mediates the onset of stress-associated psychiatric disease. Despite early studies, IFNgamma has received little attention relative to other inflammatory cytokines in the context of the pathophysiology of affective disorders. Neuroimaging endophenotypes have emerged recently as a promising means of elucidating these types of complex relationships including the modeling of the interaction between environmental factors and genetic predisposition. Here we investigate the GxE relationship between early-life stress and genetic variants of IFNgamma on emotion processing. METHODS: To investigate the impact of the relationship between genetic variants of IFNgamma (rs1861494, rs2069718, rs2430561) and early life stress on emotion processing, a sample of healthy adults (n=409) undergoing an emotional faces paradigm in an fMRI study were genotyped and analysed. Information on early life stress was obtained via Childhood Trauma Questionnaire (CTQ). RESULTS: A positive association between early life stress and amygdala reactivity was found. Specifically, the main effect of genotype of rs1861494 on amygdala reactivity indicates a higher neural response in C allele carriers compared to T homozygotes, while we did not find main effects of rs2069718 and rs2430561. Importantly, interaction analyses revealed a specific interaction between IFNgamma genotype (rs1861494) and early life stress affecting amygdala reactivity to emotional faces, resulting from a positive association between CTQ scores and amygdala reactivity in C allele carriers while this association was absent in T homozygotes. CONCLUSIONS: Our findings indicate that firstly the genetic variant of IFNgamma (rs1861494) is involved with the regulation of amygdala reactivity to emotional stimuli and secondly, that this genetic variant moderates effects of early life stress on emotion processing. These findings reiterate the importance that inflammatory genes play in the interaction with early life stress and the regulation of emotion processing. NA NA NA",2015,"Dec","Psychoneuroendocrinology",62,"","166-73",26313134,"10.1016/j.psyneuen.2015.08.008",NA,"#1159","Redlich 2015","Louis Schiekiera (2023-06-16 23:14:24)(Screen): mix; ","","en",0,"RESULTS: A positive association between early life stress and amygdala reactivity was found. Specifically, the main effect of genotype of rs1861494 on amygdala reactivity indicates a higher neural response in C allele carriers compared to T homozygotes, while we did not find main effects of rs2069718 and rs2430561. Importantly, interaction analyses revealed a specific interaction between IFNgamma genotype (rs1861494) and early life stress affecting amygdala reactivity to emotional faces, resulting from a positive association between CTQ scores and amygdala reactivity in C allele carriers while this association was absent in T homozygotes. CONCLUSIONS:"
"656","Effects of mindfulness-based cognitive therapy on self-reported suicidal ideation: results from a randomised controlled trial in patients with residual depressive symptoms","Forkmann, T.; Wichers, M.; Geschwind, N.; Peeters, F.; van Os, J.; Mainz, V.; Collip, D.","INTRODUCTION: The aim of the present study was to investigate the effects of mindfulness-based cognitive therapy (MBCT) on suicidal ideation in an open-label randomised controlled trial of patients with residual depressive symptoms. Furthermore, this study aimed at examining whether an effect of MBCT on suicidal ideation was dependent on a reduction in depression severity, worry and rumination, or an increase in mindfulness. METHODS: One hundred and thirty participants were randomised to a treatment arm (treatment as usual plus MBCT) or a wait list arm. Change in depression, change in worry, change in rumination and change in mindfulness were entered as covariates in a repeated measures ANOVA in order to assess to what degree MBCT-induced changes in suicidal ideation were independent from changes in these parameters. RESULTS: There was a significant groupxtime (pre vs. post) interaction on suicidal ideation indicating a significant reduction of suicidal ideation in the MBCT group, but not in the control group. The interaction remained significant after addition of the above covariates. Change in worry was the only covariate associated with change in suicidal ideation, causing a moderate reduction in the interaction effect size. CONCLUSIONS: The results suggest that MBCT may affect suicidal ideation in patients with residual depressive symptoms and that this effect may be mediated, in part, by participants' enhanced capacity to distance themselves from worrying thoughts. NA NA NA",2014,"Nov","Compr Psychiatry",55,"8","1883-90",25218397,"10.1016/j.comppsych.2014.08.043",NA,"#1161","Forkmann 2014","Louis Schiekiera (2023-06-16 22:22:37)(Screen): pos; ","","en",1,"RESULTS: There was a significant groupxtime (pre vs. post) interaction on suicidal ideation indicating a significant reduction of suicidal ideation in the MBCT group, but not in the control group. The interaction remained significant after addition of the above covariates. Change in worry was the only covariate associated with change in suicidal ideation, causing a moderate reduction in the interaction effect size. CONCLUSIONS:"
"657","Frequency and correlates of maladaptive responses to paranoid thoughts in patients with psychosis compared to a population sample","Lincoln, T. M.; Mobius, C.; Huber, M. T.; Nagel, M.; Moritz, S.","INTRODUCTION: The aims of this study were to identify whether responses to paranoid thoughts distinguish patients with psychotic disorders from people in the population who have paranoid thoughts occasionally and to identify factors that are associated with and might explain the different ways of responding. METHODS: Paranoid thoughts were assessed in patients diagnosed with a psychotic disorder (n = 32) and a population control sample (n = 34) with the Paranoia Checklist. Responses to paranoid thoughts were assessed with the Reactions to Paranoid Thoughts Scale (RePT) and social support, self-efficacy and cognitive insight were assessed as potential correlates of the responses to paranoid thoughts. RESULTS: The patients showed significantly more depressed, physical and devaluating responses to paranoid thoughts and employed less normalising responses than the controls. The differences in normalising responses were explained by perceived social integration, whereas the differences in depressive responses were explained by the overall levels of depression and partly explained by externality and social integration. CONCLUSIONS: Maladaptive responses to paranoid thoughts could be relevant to the pathogenesis and maintenance of persecutory delusions. Interventions aimed at reducing paranoia could benefit from targeting dysfunctional responses to paranoid thoughts and by placing a stronger emphasis on treating depression and improving social integration. NA NA NA",2014,"2014/07/25","Cogn Neuropsychiatry",19,"6","509-26",25062067,"10.1080/13546805.2014.931220",NA,"#1163","Lincoln 2014","Louis Schiekiera (2023-06-14 00:55:47)(Screen): pos; ","","en",1,"RESULTS: The patients showed significantly more depressed, physical and devaluating responses to paranoid thoughts and employed less normalising responses than the controls. The differences in normalising responses were explained by perceived social integration, whereas the differences in depressive responses were explained by the overall levels of depression and partly explained by externality and social integration. CONCLUSIONS:"
"658","Psychedelic Experiences During the Early COVID-19 Pandemic: Findings From an International Online Survey","Evens, R.; Reiche, S.; Marek, R. M.; Moon, D. U.; Gross, R. E.; Romanello, A.; Jalilzadeh Masah, D.; Scicchitano Bockheler, M.; Gutwinski, S.; Montag, C.; Mick, I.; Majic, T.","Introduction: The current corona virus disease (COVID-19) pandemic has caused a serious global health crisis that has affected large parts of the public and private life worldwide, including the use of psychoactive substances. In this study, we investigated the effect of the COVID-19 pandemic on the use of serotonergic psychedelics, i.e., the settings in which people use psychedelics, the motives of usage, and the subjective quality of psychedelic experiences. Methods: The study was part of an international, cross-sectional, internet-based survey (N = 5,049) available in five languages (English, German, Spanish, Italian, and Korean) carried out during the early phase of the pandemic from April to August 2020. Participants were asked to retrospectively rate settings and motives of psychedelic substance use before the pandemic and in the last 4 weeks during the pandemic, as well as changes in psychedelic experiences. Results: Of n = 1,375 participants that reported the use psychedelics in 2019 or 2020, n = 642 (46.6%) also took psychedelics during the pandemic. During the pandemic, participants used psychedelics significantly less often in settings that were outside their home. Top motives to use psychedelics were comparable before and during the pandemic, but participants consumed less out of curiosity, to celebrate, or because friends took it, and more out of boredom. An increase in positively connoted, often pro-social experiences was observed. Two thirds of participants who used psychedelics during the pandemic claimed that psychedelics had helped them to deal better with the corona pandemic at least slightly. Discussion: Changes in setting and motives were mostly in line with restrictions caused by control measures to contain the spread of the virus. The unexpected increase in positively connoted experiences possibly reflects a favorable interaction of environmental macro- and individual micro-contexts during the pandemic (e.g., by reducing the use in more uncontrolled recreational settings or by encouraging a strong self-selection of substance users due to the expectation of ""bad trips""). Increased pro-social feelings under psychedelics might reflect a desire for social interactions in times of social distancing and pandemic-related stress and anxiety. NA NA NA",2021,"2021/11/04","Front Psychiatry",12,"","732028",34803757,"10.3389/fpsyt.2021.732028",NA,"#1164","Evens 2021","Louis Schiekiera (2023-06-06 23:16:14)(Screen): pos; ","","en",1,"Results: Of n = 1,375 participants that reported the use psychedelics in 2019 or 2020, n = 642 (46.6%) also took psychedelics during the pandemic. During the pandemic, participants used psychedelics significantly less often in settings that were outside their home. Top motives to use psychedelics were comparable before and during the pandemic, but participants consumed less out of curiosity, to celebrate, or because friends took it, and more out of boredom. An increase in positively connoted, often pro-social experiences was observed. Two thirds of participants who used psychedelics during the pandemic claimed that psychedelics had helped them to deal better with the corona pandemic at least slightly. Discussion:"
"659","Patients Characteristics and Psychosocial Treatment in Psychodynamic and Cognitive Behavior Therapy","Muschalla, B.; Linden, M.; Rose, M.","Introduction: The most prevalent psychotherapy schools are psychodynamic (PDT) and cognitive behavior therapy (CBT). There are no scientific guidelines on which type of patient should be treated by which therapist, and how they can find the best one. Part of the answer can be derived from data on who is treated in which way. Objective: Objective of this study was to compare patients in routine PDT and CBT to describe similarities and differences in regard to patient status and treatment. Materials and Methods: A research psychotherapist visited 73 cognitive behavior therapists and 58 psychodynamic psychotherapists in their office and asked them to report about the last cases they had seen. There were 188 CBT and 134 PD case reports. Results: There were no significant differences in socio-demographics between PDT and CBT patients. The average number of treatment session so far was significantly higher in PDT than CBT. There were longer duration of illness, more parallel medical treatments and higher rates of sick leave in CBT patients. While assessment of capacities with the Mini-ICF-APP showed no differences, more participation restrictions were found in CBT patients. Correspondingly there were more sociomedical interventions, especially in regard to work. Conclusions: The differences between PDT and CBT may be explained by the fact that PDT requires analytical capabilities on the side of the patient, which may exclude patients with social problems, while CBT is coping oriented which allows the inclusion of all kinds of patients. Still, in both treatment modes, complex patients are treated with multidimensional interventions. NA NA NA",2021,"2021/05/14","Front Psychiatry",12,"","664975",34054618,"10.3389/fpsyt.2021.664975",NA,"#1167","Muschalla 2021","Louis Schiekiera (2023-06-08 18:00:21)(Screen): mix; ","","en",0,"Results: There were no significant differences in socio-demographics between PDT and CBT patients. The average number of treatment session so far was significantly higher in PDT than CBT. There were longer duration of illness, more parallel medical treatments and higher rates of sick leave in CBT patients. While assessment of capacities with the Mini-ICF-APP showed no differences, more participation restrictions were found in CBT patients. Correspondingly there were more sociomedical interventions, especially in regard to work. Conclusions:"
"660","The relationship between social media use, stress symptoms and burden caused by coronavirus (Covid-19) in Germany and Italy: A cross-sectional and longitudinal investigation","Brailovskaia, J.; Cosci, F.; Mansueto, G.; Margraf, J.","INTRODUCTION: The need for ""social distancing"" to reduce the spread of Covid-19 is accompanied by an increase of social media use (SMU). Many people engage in intensive online activity to find information about the current Covid-19 situation and to interact about it with other users. The present study investigated the extent of SMU as Covid-19 information source and its relationship with stress symptoms and burden caused by the pandemic in Germany and Italy. METHODS: Cross-national longitudinal (Germany, N = 501; 3-months period) and cross-sectional (Italy, N = 951) data on Covid-19 information sources, stress symptoms and burden caused by Covid-19 were collected via online surveys. RESULTS: About 50% of the German sample and about 60% of the Italian sample frequently used SM as Covid-19 information source. Cross-sectional analyses in both countries revealed that SMU is positively associated with stress symptoms and experienced burden. Moreover, stress symptoms mediated the link between SMU and burden. This was also confirmed by longitudinal analyses in Germany (burden assessed three months after SMU and stress symptoms). LIMITATIONS: The mostly female and relatively young sample composition limits the generalizability of present findings. Only two European countries were investigated. CONCLUSIONS: The present findings reveal a potential negative impact of enhanced SMU on individual mental health state and behavior. Additionally, they emphasize the significance of a conscious and cautious use of SM as information source specifically during the pandemic. NA NA NA",2021,"Jan","J Affect Disord Rep",3,"","100067",35434690,"10.1016/j.jadr.2020.100067",NA,"#1168","Brailovskaia 2021","Louis Schiekiera (2023-05-23 13:55:54)(Screen): pos; ","","en",1,"RESULTS: About 50% of the German sample and about 60% of the Italian sample frequently used SM as Covid-19 information source. Cross-sectional analyses in both countries revealed that SMU is positively associated with stress symptoms and experienced burden. Moreover, stress symptoms mediated the link between SMU and burden. This was also confirmed by longitudinal analyses in Germany (burden assessed three months after SMU and stress symptoms). LIMITATIONS:"
"661","Association of NPSR1 gene variation and neural activity in patients with panic disorder and agoraphobia and healthy controls","Gechter, J.; Liebscher, C.; Geiger, M. J.; Wittmann, A.; Schlagenhauf, F.; Lueken, U.; Wittchen, H. U.; Pfleiderer, B.; Arolt, V.; Kircher, T.; Straube, B.; Deckert, J.; Weber, H.; Herrmann, M. J.; Reif, A.; Domschke, K.; Strohle, A.","INTRODUCTION: The neurobiological mechanisms behind panic disorder with agoraphobia (PD/AG) are not completely explored. The functional A/T single nucleotide polymorphism (SNP) rs324981 in the neuropeptide S receptor gene (NPSR1) has repeatedly been associated with panic disorder and might partly drive function respectively dysfunction of the neural ""fear network"". We aimed to investigate whether the NPSR1 T risk allele was associated with malfunctioning in a fronto-limbic network during the anticipation and perception of agoraphobia-specific stimuli. METHOD: 121 patients with PD/AG and 77 healthy controls (HC) underwent functional magnetic resonance imaging (fMRI) using the disorder specific ""Westphal-Paradigm"". It consists of neutral and agoraphobia-specific pictures, half of the pictures were cued to induce anticipatory anxiety. RESULTS: Risk allele carriers showed significantly higher amygdala activation during the perception of agoraphobia-specific stimuli than A/A homozygotes. A linear group x genotype interaction during the perception of agoraphobia-specific stimuli showed a strong trend towards significance. Patients with the one or two T alleles displayed the highest and HC with the A/A genotype the lowest activation in the inferior orbitofrontal cortex (iOFC). DISCUSSION: The study demonstrates an association of the NPSR1rs324981 genotype and the perception of agoraphobia-specific stimuli. These results support the assumption of a fronto-limbic dysfunction as an intermediate phenotype of PD/AG. NA NA NA",2019,"","Neuroimage Clin",24,"","102029",31734525,"10.1016/j.nicl.2019.102029",NA,"#1169","Gechter 2019","Louis Schiekiera (2023-06-16 21:00:24)(Screen): pos; ","","en",1,"RESULTS: Risk allele carriers showed significantly higher amygdala activation during the perception of agoraphobia-specific stimuli than A/A homozygotes. A linear group x genotype interaction during the perception of agoraphobia-specific stimuli showed a strong trend towards significance. Patients with the one or two T alleles displayed the highest and HC with the A/A genotype the lowest activation in the inferior orbitofrontal cortex (iOFC). DISCUSSION:"
"662","Altered Appetitive Conditioning and Neural Connectivity in Subjects With Compulsive Sexual Behavior","Klucken, T.; Wehrum-Osinsky, S.; Schweckendiek, J.; Kruse, O.; Stark, R.","INTRODUCTION: There has been growing interest in a better understanding of the etiology of compulsive sexual behavior (CSB). It is assumed that facilitated appetitive conditioning might be an important mechanism for the development and maintenance of CSB, but no study thus far has investigated these processes. AIM: To explore group differences in neural activity associated with appetitive conditioning and connectivity in subjects with CSB and a healthy control group. METHODS: Two groups (20 subjects with CSB and 20 controls) were exposed to an appetitive conditioning paradigm during a functional magnetic resonance imaging experiment, in which a neutral stimulus (CS+) predicted visual sexual stimuli and a second stimulus (CS-) did not. MAIN OUTCOME MEASURES: Blood oxygen level-dependent responses and psychophysiologic interaction. RESULTS: As a main result, we found increased amygdala activity during appetitive conditioning for the CS+ vs the CS- and decreased coupling between the ventral striatum and prefrontal cortex in the CSB vs control group. CONCLUSION: The findings show that neural correlates of appetitive conditioning and neural connectivity are altered in patients with CSB. The increased amygdala activation might reflect facilitated conditioning processes in patients with CSB. In addition, the observed decreased coupling could be interpreted as a marker for impaired emotion regulation success in this group. NA NA NA",2016,"Apr","J Sex Med",13,"4","627-36",26936075,"10.1016/j.jsxm.2016.01.013",NA,"#1172","Klucken 2016","Louis Schiekiera (2023-06-14 01:00:37)(Screen): pos; ","","en",1,"RESULTS: As a main result, we found increased amygdala activity during appetitive conditioning for the CS+ vs the CS- and decreased coupling between the ventral striatum and prefrontal cortex in the CSB vs control group. CONCLUSION:"
"663","Effectiveness of a Guided Internet- and Mobile-Based Intervention for Patients with Chronic Back Pain and Depression (WARD-BP): A Multicenter, Pragmatic Randomized Controlled Trial","Baumeister, H.; Paganini, S.; Sander, L. B.; Lin, J.; Schlicker, S.; Terhorst, Y.; Moshagen, M.; Bengel, J.; Lehr, D.; Ebert, D. D.","INTRODUCTION: There is neither strong evidence on effective treatments for patients with chronic back pain (CBP) and depressive disorder nor sufficiently available mental health care offers. OBJECTIVE: The aim is to assess the effectiveness of internet- and mobile-based interventions (IMI) as a scalable approach for treating depression in a routine care setting. METHODS: This is an observer-masked, multicenter, pragmatic randomized controlled trial with a randomization ratio of 1:1.Patients with CBP and diagnosed depressive disorder (mild to moderate severity) were recruited from 82 orthopedic rehabilitation clinics across Germany. The intervention group (IG) received a guided depression IMI tailored to CBP next to treatment-as-usual (TAU; including medication), while the control group (CG) received TAU. The primary outcome was observer-masked clinician-rated Hamilton depression severity (9-week follow-up). The secondary outcomes were: further depression outcomes, pain-related outcomes, health-related quality of life, and work capacity. Biostatistician blinded analyses using regression models were conducted by intention-to-treat and per protocol analysis. RESULTS: Between October 2015 and July 2017, we randomly assigned 210 participants (IG, n = 105; CG, n = 105), mostly with only a mild pain intensity but substantial pain disability. No statistically significant difference in depression severity between IG and CG was observed at the 9-week follow-up (beta = -0.19, 95% CI -0.43 to 0.05). Explorative secondary depression (4/9) and pain-related (4/6) outcomes were in part significant (p < 0.05). Health-related quality of life was significantly higher in the IG. No differences were found in work capacity. CONCLUSION: The results indicate that an IMI for patients with CBP and depression in a routine care setting has limited impact on depression. Benefits in pain and health-related outcomes suggest that an IMI might still be a useful measure to improve routine care. NA significant NA",2021,"2020/12/15","Psychother Psychosom",90,"4","255-268",33321501,"10.1159/000511881",NA,"#1173","Baumeister 2021","Louis Schiekiera (2023-05-18 00:09:37)(Screen): mix; ","","en",0,"RESULTS: Between October 2015 and July 2017, we randomly assigned 210 participants (IG, n = 105; CG, n = 105), mostly with only a mild pain intensity but substantial pain disability. No statistically significant difference in depression severity between IG and CG was observed at the 9-week follow-up (beta = -0.19, 95% CI -0.43 to 0.05). Explorative secondary depression (4/9) and pain-related (4/6) outcomes were in part significant (p < 0.05). Health-related quality of life was significantly higher in the IG. No differences were found in work capacity. CONCLUSION:"
"665","Sleep problems in university students - an intervention","Schlarb, A. A.; Friedrich, A.; Classen, M.","INTRODUCTION: Up to 60% of all college students suffer from a poor sleep quality, and 7.7% meet all criteria of an insomnia disorder. Sleep problems have a great impact on the students' daily life, for example, the grade point average. Due to irregular daytime routines, chronotype changes, side jobs and exam periods, they need specialized treatments for improving sleep. ""Studieren wie im Schlaf"" (SWIS; (studying in your sleep)) is a multicomponent sleep training that combines Cognitive Behavioral Therapy for Insomnia and Hypnotherapy for Insomnia to improve students' sleep, insomnia symptoms and nightmares. The aim of the present study is to evaluate the acceptance, feasibility and the first effects of SWIS. METHODS: Twenty-seven students (mean =24.24, standard deviation =3.57) participated in a study of pre-post design. The acceptance and feasibility were measured with questionnaires. In addition, the Pittsburgh Sleep Quality Index (PSQI), sleep logs and actigraphy were implemented. Further variables encompassed daytime sleepiness, sleep-related personality traits and cognitions about sleep. RESULTS: Seventy-four percent of the participants reported symptoms of an insomnia disorder, and 51.9% fulfilled all criteria of an insomnia disorder according to the Diagnostic and Statistical Manual of Mental Disorders (fifth edition). Correspondingly, the students suffered from clinically relevant sleep problems according to the PSQI. The SWIS sleep training is a well-accepted and feasible program. Significant improvements were observed in the subjective sleep quality and sleep-related personality traits, as well as clinical improvements in objective sleep measures. DISCUSSION: Findings showed that SWIS is a feasible program for the treatment of sleep problems in college and university students due to its various effects on sleep and cognitive outcomes. Further evaluation of follow-up measurements and additional variables, that is, cognitive performance and mental health, is needed. NA NA NA",2017,"2017/07","Neuropsychiatr Dis Treat",13,"","1989-2001",28794633,"10.2147/NDT.S142067",NA,"#1176","Schlarb 2017","Jonathan Diederichs (2023-05-16 01:59:19)(Screen): pos; ","","en",1,"RESULTS: Seventy-four percent of the participants reported symptoms of an insomnia disorder, and 51.9% fulfilled all criteria of an insomnia disorder according to the Diagnostic and Statistical Manual of Mental Disorders (fifth edition). Correspondingly, the students suffered from clinically relevant sleep problems according to the PSQI. The SWIS sleep training is a well-accepted and feasible program. Significant improvements were observed in the subjective sleep quality and sleep-related personality traits, as well as clinical improvements in objective sleep measures. DISCUSSION:"
"666","Associations of Buying-Shopping Disorder Symptoms with Identity Confusion, Materialism, and Socially Undesirable Personality Features in a Community Sample","Muller, A.; Claes, L.; Birlin, A.; Georgiadou, E.; Laskowski, N. M.; Steins-Loeber, S.; Brand, M.; de Zwaan, M.","INTRODUCTION: While identity problems and materialistic value endorsement have been described as predisposing factors for buying-shopping disorder (BSD) in the literature, little empirical data are available on the role of socially undesirable personality features that may contribute to financial misconduct and manipulative interpersonal behaviors in BSD. The dark triad of personality refers to such offensive yet non-pathological personality traits and has been applied to addictive behaviors in the past. The aim of the present study was to investigate whether the ""dark triad"" dimensions Machiavellianism, subclinical narcissism, and subclinical psychopathy predict symptoms of BSD above and beyond identity confusion and materialism, or moderate the relationship between materialism and symptoms of BSD. METHOD: The participants comprised a convenience sample (N = 272, 72.4% women) aged between 18 and 67 years. Assessment included standard questionnaires for BSD, identity problems, materialism, and the dark triad of personality. RESULTS: Zero-order correlations indicate a weak association between BSD and the dark triad dimensions Machiavellianism and narcissism, but not psychopathy. Results of a moderated regression analysis with BSD symptoms as a dependent variable revealed significant main effects for materialism, female gender, and a significant ""narcissism by materialism"" effect, after accounting for identity confusion/synthesis and the single dark triad traits. CONCLUSION: The findings suggest that individuals with BSD attempt to address their narcissistic deficits via materialistic possessions. This assumption warrants further investigation in a clinical sample. NA NA NA",2021,"2020/10/29","Eur Addict Res",27,"2","142-150",33120395,"10.1159/000511078",NA,"#1178","Muller 2021","Louis Schiekiera (2023-06-16 21:59:22)(Screen): pos; ","","en",1,"RESULTS: Zero-order correlations indicate a weak association between BSD and the dark triad dimensions Machiavellianism and narcissism, but not psychopathy. Results of a moderated regression analysis with BSD symptoms as a dependent variable revealed significant main effects for materialism, female gender, and a significant ""narcissism by materialism"" effect, after accounting for identity confusion/synthesis and the single dark triad traits. CONCLUSION:"
"687","[Metacognitions and interoceptive sensibility in the perception of premonitory urges in tic disorders across the lifespan]","Schutteler, C.; Gerlach, A. L.","Metacognitions and interoceptive sensibility in the perception of premonitory urges in tic disorders across the lifespan Abstract. Objective: Depending on contextual factors, the prevalence of premonitory urges (PU) in patients with tic disorders (TD) increases with age and varies both intra- and interindividually. In youth, PUs correlate with metacognitions. In both youth and adults, interoceptive sensibility is altered compared to healthy controls. We examined the relationship between PUs, tics, metacognitions, and interoceptive sensibility across the lifespan regarding tic severity. Method: In an online survey, 53 participants reported their PUs on the Premonitory Urge for Tics Scale (PUTS) and tic severity on the Symptom Checklist for Tic Disorders (SBB-TIC). We assessed interoceptive sensibility via the Body Perception Questionnaire (BPQ-A) and metacognitions regarding tics with the Belief About Tics Scale (BATS). Results: Adults scored higher on the PUTS than youth. In youth, interoceptive sensibility increased with age; interoceptive sensibility correlated with PUTS. Metacognitions and interoceptive sensibility explained a significant amount of variance in premonitory urges, even after controlling for tic severity and age. Conclusions: The presumed cause of age-dependent development of PUs in youth lies in their neurophysiological maturing processes. However, negative metacognitions and interoceptive abilities also play an important role in the development and maintenance of PU and might be of therapeutic use in the treatment of TD. NA NA NA",2022,"Nov 18","Z Kinder Jugendpsychiatr Psychother",NA,"","",36398570,"10.1024/1422-4917/a000910",NA,"#1221","Schutteler 2022","Louis Schiekiera (2023-05-17 07:20:51)(Screen): pos; ","","en",1,"Results: Adults scored higher on the PUTS than youth. In youth, interoceptive sensibility increased with age; interoceptive sensibility correlated with PUTS. Metacognitions and interoceptive sensibility explained a significant amount of variance in premonitory urges, even after controlling for tic severity and age. Conclusions:"
